start,end
1.0.16.0,1.0.31.255
1.0.64.0,1.0.127.255
1.1.64.0,1.1.127.255
1.5.0.0,1.5.255.255
1.21.0.0,1.21.63.255
1.21.64.0,1.21.95.255
1.21.96.0,1.21.111.255
1.21.112.0,1.21.127.255
1.21.128.0,1.21.143.255
1.21.144.0,1.21.159.255
1.21.160.0,1.21.191.255
1.21.192.0,1.21.255.255
1.33.0.0,1.33.255.255
1.66.0.0,1.67.255.255
1.72.0.0,1.79.255.255
1.112.0.0,1.115.255.255
14.3.0.0,14.3.255.255
14.8.0.0,14.15.255.255
14.101.0.0,14.101.255.255
14.102.192.0,14.102.223.255
14.128.16.0,14.128.31.255
14.128.64.0,14.128.95.255
14.128.96.0,14.128.127.255
14.132.0.0,14.133.255.255
14.137.224.0,14.137.255.255
14.192.32.0,14.192.47.255
14.192.96.0,14.192.127.255
14.193.0.0,14.193.255.255
23.232.128.0,23.232.255.255
24.41.112.0,24.41.127.255
24.53.192.0,24.53.223.255
27.0.16.0,27.0.31.255
27.0.32.0,27.0.47.255
27.34.128.0,27.34.159.255
27.34.192.0,27.34.223.255
27.50.96.0,27.50.127.255
27.54.96.0,27.54.111.255
27.80.0.0,27.95.255.255
27.96.0.0,27.96.15.255
27.96.32.0,27.96.63.255
27.98.0.0,27.98.127.255
27.98.128.0,27.98.191.255
27.100.48.0,27.100.63.255
27.106.224.0,27.106.255.255
27.110.0.0,27.110.15.255
27.110.32.0,27.110.63.255
27.110.96.0,27.110.111.255
27.111.128.0,27.111.159.255
27.113.192.0,27.113.223.255
27.113.224.0,27.113.239.255
27.114.0.0,27.114.127.255
27.116.0.0,27.116.15.255
27.118.0.0,27.118.15.255
27.120.64.0,27.120.127.255
27.120.128.0,27.120.143.255
27.120.144.0,27.120.159.255
27.120.160.0,27.120.175.255
27.120.176.0,27.120.191.255
27.120.192.0,27.120.255.255
27.121.0.0,27.121.63.255
27.121.128.0,27.121.255.255
27.122.32.0,27.122.47.255
27.122.64.0,27.122.95.255
27.122.96.0,27.122.111.255
27.126.64.0,27.126.127.255
27.126.128.0,27.126.143.255
27.126.160.0,27.126.175.255
27.127.0.0,27.127.127.255
27.127.128.0,27.127.191.255
27.127.240.0,27.127.255.255
27.131.16.0,27.131.31.255
27.131.224.0,27.131.239.255
27.132.16.0,27.132.31.255
27.132.32.0,27.132.63.255
27.132.64.0,27.132.127.255
27.132.128.0,27.132.159.255
27.132.160.0,27.132.175.255
27.132.176.0,27.132.191.255
27.132.192.0,27.132.255.255
27.133.48.0,27.133.63.255
27.133.64.0,27.133.79.255
27.133.96.0,27.133.127.255
27.133.128.0,27.133.159.255
27.133.176.0,27.133.191.255
27.133.192.0,27.133.207.255
27.133.208.0,27.133.223.255
27.134.0.0,27.134.15.255
27.134.32.0,27.134.63.255
27.134.80.0,27.134.95.255
27.134.96.0,27.134.127.255
27.134.128.0,27.134.159.255
27.134.160.0,27.134.175.255
27.134.192.0,27.134.223.255
27.134.240.0,27.134.255.255
27.135.0.0,27.135.31.255
27.135.32.0,27.135.47.255
27.135.80.0,27.135.95.255
27.135.96.0,27.135.127.255
27.135.128.0,27.135.255.255
27.136.0.0,27.143.255.255
27.147.64.0,27.147.79.255
27.147.80.0,27.147.95.255
27.147.96.0,27.147.111.255
27.147.112.0,27.147.127.255
27.228.0.0,27.231.255.255
27.253.128.0,27.253.255.255
36.2.0.0,36.2.31.255
36.2.32.0,36.2.63.255
36.2.64.0,36.2.127.255
36.2.128.0,36.2.159.255
36.2.160.0,36.2.191.255
36.2.192.0,36.2.223.255
36.2.224.0,36.2.255.255
36.3.0.0,36.3.127.255
36.3.128.0,36.3.191.255
36.3.192.0,36.3.223.255
36.3.224.0,36.3.255.255
36.8.0.0,36.15.255.255
36.52.0.0,36.52.15.255
36.52.32.0,36.52.63.255
36.52.64.0,36.52.95.255
36.52.96.0,36.52.111.255
36.52.128.0,36.52.143.255
36.52.176.0,36.52.191.255
36.52.192.0,36.52.207.255
36.52.240.0,36.52.255.255
36.53.0.0,36.53.127.255
36.53.128.0,36.53.191.255
36.53.192.0,36.53.223.255
36.53.224.0,36.53.239.255
36.53.240.0,36.53.255.255
36.54.0.0,36.55.255.255
36.240.0.0,36.247.255.255
39.2.0.0,39.3.255.255
39.110.0.0,39.111.255.255
42.83.0.0,42.83.63.255
42.99.128.0,42.99.255.255
42.124.0.0,42.127.255.255
42.144.0.0,42.151.255.255
43.222.0.0,43.223.255.255
43.232.0.0,43.235.255.255
43.244.0.0,43.244.255.255
43.253.0.0,43.253.255.255
45.75.0.0,45.75.127.255
49.96.0.0,49.111.255.255
49.128.128.0,49.128.159.255
49.129.0.0,49.129.255.255
49.132.0.0,49.135.255.255
49.156.160.0,49.156.191.255
49.156.192.0,49.156.255.255
49.212.0.0,49.212.255.255
49.238.0.0,49.238.31.255
49.239.64.0,49.239.127.255
49.240.0.0,49.241.255.255
49.242.0.0,49.242.63.255
49.242.64.0,49.242.127.255
49.242.128.0,49.242.159.255
49.242.160.0,49.242.191.255
49.242.192.0,49.242.255.255
49.243.0.0,49.243.255.255
49.250.0.0,49.251.255.255
49.252.0.0,49.253.255.255
58.0.0.0,58.1.255.255
58.3.0.0,58.3.127.255
58.3.128.0,58.3.255.255
58.4.0.0,58.5.255.255
58.12.0.0,58.13.255.255
58.65.32.0,58.65.63.255
58.70.0.0,58.70.255.255
58.80.0.0,58.81.255.255
58.84.240.0,58.84.255.255
58.85.0.0,58.85.255.255
58.87.16.0,58.87.31.255
58.87.128.0,58.87.255.255
58.88.0.0,58.89.255.255
58.90.0.0,58.91.255.255
58.92.0.0,58.95.255.255
58.98.0.0,58.98.255.255
58.112.0.0,58.113.255.255
58.138.0.0,58.138.127.255
58.138.128.0,58.138.191.255
58.145.192.0,58.145.223.255
58.145.240.0,58.145.255.255
58.146.0.0,58.146.63.255
58.146.64.0,58.146.95.255
58.147.192.0,58.147.223.255
58.147.224.0,58.147.255.255
58.156.0.0,58.157.255.255
58.158.0.0,58.159.255.255
58.183.0.0,58.183.127.255
58.183.128.0,58.183.255.255
58.188.0.0,58.191.255.255
59.84.0.0,59.85.255.255
59.86.0.0,59.86.127.255
59.86.128.0,59.86.159.255
59.87.0.0,59.87.255.255
59.106.0.0,59.106.255.255
59.128.0.0,59.143.255.255
59.146.0.0,59.146.255.255
59.147.0.0,59.147.255.255
59.156.0.0,59.156.15.255
59.156.32.0,59.156.63.255
59.156.64.0,59.156.127.255
59.156.144.0,59.156.159.255
59.156.160.0,59.156.191.255
59.156.192.0,59.156.255.255
59.157.0.0,59.157.127.255
59.157.128.0,59.157.191.255
59.157.192.0,59.157.207.255
59.157.208.0,59.157.223.255
59.157.224.0,59.157.255.255
59.158.0.0,59.159.255.255
59.166.0.0,59.166.255.255
59.168.0.0,59.171.255.255
59.190.0.0,59.190.255.255
59.191.128.0,59.191.191.255
60.32.0.0,60.47.255.255
60.56.0.0,60.56.255.255
60.57.0.0,60.57.127.255
60.57.128.0,60.57.255.255
60.58.0.0,60.59.255.255
60.60.0.0,60.61.255.255
60.62.0.0,60.62.127.255
60.62.128.0,60.62.143.255
60.62.144.0,60.62.159.255
60.62.160.0,60.62.191.255
60.62.192.0,60.62.255.255
60.64.0.0,60.127.255.255
60.128.0.0,60.159.255.255
60.192.0.0,60.193.255.255
60.236.0.0,60.237.255.255
60.238.0.0,60.239.255.255
60.254.192.0,60.254.255.255
61.4.128.0,61.4.159.255
61.4.160.0,61.4.175.255
61.5.224.0,61.5.239.255
61.7.0.0,61.7.63.255
61.7.64.0,61.7.127.255
61.8.32.0,61.8.63.255
61.11.128.0,61.11.159.255
